AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTC,BTN,BWP,BYN,BYR,BZD,CAD,CDF,CHF,CLF,CLP,CNY,COP,CRC,CUC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KMF,KPW,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LTL,LVL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRO,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLL,SOS,SRD,STD,SVC,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VND,VUV,WST,XAF,XAG,XAU,XCD,XDR,XOF,XPF,YER,ZAR,ZMK,ZMW,ZWL,date
3.6731,89.711571,114.65068,415.597889,1.800398,430.3375,129.394411,1.452005,1.7975,1.704229,1.91595,2.016986,93.878353,1.920309,0.376995,2057.061411,1,1.391599,6.857952,5.471703,0.998991,4.3066051e-05,79.889697,12.725821,2.521515,19600,2.013656,1.28855,2002.495715,0.97152,0.033612,927.459964,6.755903,4356,679.339361,1,26.5,108.015047,24.100201,177.719551,7.311096,54.313647,145.747632,18.950696,15,52.53911,0.982085,2.20565,0.842337,0.83535,2.940136,0.842337,8.136516,0.842337,54.089858,8665.497683,7.729495,208.996601,7.84983,24.564325,7.378499,116.759891,391.402849,15032,3.438425,0.842337,80.00365,1458.021287,42350.000142,137.189819,0.842337,151.856822,0.70897,138.398501,118.550137,79.528599,4082.716195,464.624961,899.999992,1313.020148,0.30775,0.83246,481.240939,15027.036558,1510.655702,359.62286,152.493911,15.839653,2.95274,0.60489,4.884261,10.236919,19.280281,4205.626794,60.523757,1849.559382,3144.659992,8.075315,356.999828,44.701296,15.350155,1026.043514,20.557102,4.451993,63.82978,15.840205,415.356698,35.818088,9.972199,127.821206,1.606565,0.384999,0.998991,3.871416,3.56437,56.390378,225.01391,4.687299,6857.948924,3.640951,4.849201,115.194403,55.000099,1037.920124,3.757946,8.159969,13.160957,456.505338,10.250355,1.39304,1.377402,13170.000221,584.50174,22.728501,20697.981008,8.740969,2512.529433,17.064252,36.690318,9.864718,3.51,3.063505,2.34675,17.598602,6.781345,29.895698,2331.999679,29.517554,3801.024656,1,42.091239,10896.672316,23420,118.896025,2.72097,642.433769,0.053516,0.00059,2.70255,0.756574,642.572221,113.150057,250.249737,17.138302,9001.207865,16.432903,321.999592,2022-07-20
3.673101,90.27587,114.658243,414.840213,1.801451,430.92805,129.600755,1.444513,1.7975,1.696854,1.918816,2.018198,94.412974,1.912606,0.377006,2058.586641,1,1.393323,6.872198,5.499304,0.999583,4.3195503e-05,79.89944,12.766534,2.523619,19600,2.014863,1.28805,2002.496913,0.966403,0.033661,928.820409,6.766601,4402.39,675.211537,1,26.5,108.178242,23.99705,177.719659,7.284596,54.315271,145.967001,18.918798,15,52.577775,0.978405,2.199803,0.842337,0.83365,2.940083,0.842337,8.141844,0.842337,54.089559,8671.133828,7.734084,209.131668,7.84885,24.582452,7.360499,116.829925,390.120174,15015.95,3.449745,0.842337,79.77615,1458.898667,42349.999721,136.49039,0.842337,152.150453,0.709042,137.101501,118.550123,79.679698,4088.293724,464.624989,899.999992,1307.00009,0.30765,0.833006,482.061042,15036.937476,1511.414584,362.845216,152.501353,15.840047,2.95274,0.60489,4.876826,10.181303,19.297452,4206.702705,60.152912,1850.709931,3144.659992,8.081704,356.999828,44.699236,15.349676,1026.697734,20.669103,4.457023,63.829667,15.84003,415.406991,35.839404,9.94764,127.834596,1.601731,0.384997,0.999583,3.889592,3.567483,56.444984,226.653226,4.66055,6847.436344,3.641002,4.829398,114.915024,58.0002,1024.693659,3.758137,8.159969,13.205482,456.496549,10.196801,1.389898,1.3774,13170.000034,584.494023,22.883504,20697.981008,8.745984,2512.529433,17.140419,36.760162,10.196019,3.51,3.063495,2.34725,17.729365,6.791126,29.895304,2332.000074,29.61945,3823.543839,1,41.991671,10895.253699,23415,118.896025,2.72097,643.543054,0.053145,0.000582,2.70255,0.759352,643.543054,113.150171,250.249668,17.050397,9001.197606,16.468361,321.999592,2022-07-21
3.673104,90.042404,114.813612,413.103986,1.803657,432.01925,129.706902,1.442936,1.7975,1.70397,1.924215,2.0207,94.524365,1.916714,0.376989,2061.383314,1,1.391242,6.870419,5.497804,1.000758,4.4035873e-05,79.898471,12.700458,2.526096,19600,2.017316,1.29145,2002.50392,0.96923,0.034517,952.430396,6.751304,4453.34,672.510564,1,26.5,108.481029,24.080804,177.720394,7.288465,54.412727,146.00904,18.914342,15,52.642904,0.97904,2.20465,0.842337,0.833021,2.940391,0.842337,8.151533,0.842337,54.09039,8681.535994,7.741075,209.379888,7.848404,24.612494,7.366204,116.708889,388.780388,14978,3.44373,0.842337,79.87704,1460.685543,42350.000352,136.570386,0.842337,152.315972,0.70904,136.26804,118.750385,79.759304,4095.215608,464.625039,899.999992,1310.345039,0.307404,0.834006,482.741319,15064.021526,1513.434275,360.271136,152.503775,15.840382,2.95274,0.60489,4.884988,10.261408,19.315152,4212.33244,60.199411,1852.893508,3144.659992,8.091654,356.999828,45.493268,15.350378,1027.217945,20.544604,4.452039,63.830377,15.840377,414.720377,35.884141,9.958005,127.836177,1.595918,0.384924,1.000758,3.920191,3.571717,56.300504,228.421834,4.641116,6862.711339,3.641038,4.830374,114.90651,58.125038,1033.421224,3.757139,8.159969,13.510894,456.503678,10.26107,1.387965,1.377404,13170.000339,584.503667,23.257504,20697.981008,8.757293,2512.529433,16.93822,36.456504,10.007723,3.51,3.063504,2.34725,17.740704,6.799484,29.811304,2332.000336,36.780398,3830.484295,1,41.892497,10928.788579,23405,118.896025,2.72097,645.353836,0.053792,0.000579,2.70255,0.760898,645.366535,113.150364,250.250364,16.83516,9001.203593,16.488083,321.999592,2022-07-22
3.673104,89.593735,114.243759,408.986784,1.794714,432.01925,129.053255,1.443835,1.7975,1.70397,1.914665,2.010671,94.055213,1.915281,0.376897,2051.091532,1,1.384337,6.836319,5.496671,0.995791,4.4520549e-05,79.503867,12.637298,2.513558,19600,2.007244,1.29175,2002.50392,0.96821,0.033521,924.937445,6.751304,4408.027411,669.182575,1,26.5,107.9442,24.07875,177.278512,7.287165,54.142927,145.965737,18.914342,15,52.381106,0.97904,2.20465,0.842337,0.833021,2.940391,0.842337,8.110915,0.842337,54.09039,8638.277044,7.702692,208.340675,7.848204,24.490455,7.366204,116.130201,388.83504,14978,3.44373,0.842337,79.845504,1453.421439,42350.000352,136.570386,0.842337,151.558492,0.70904,136.17804,118.153989,79.759304,4074.889868,464.625039,899.999992,1310.245039,0.307404,0.829858,480.352423,14989.623103,1505.922663,358.49535,152.503775,15.840382,2.95274,0.60489,4.860695,10.210377,19.219285,4191.404797,60.31816,1843.760548,3144.659992,8.051493,356.999828,45.482134,15.350378,1022.114537,20.54445,4.452039,63.830377,15.840377,414.720377,35.705335,9.967605,127.20607,1.598849,0.384924,0.995791,3.900734,3.553989,56.120375,227.295937,4.642516,6828.683309,3.641038,4.830374,114.90651,58.125038,1028.281938,3.757158,8.159969,14.284038,456.503678,10.26527,1.387704,1.377404,13170.000339,584.503667,23.257504,20697.981008,8.713656,2512.529433,16.854234,36.632038,9.958199,3.51,3.063504,2.34725,17.741504,6.765737,29.811304,2322.251591,36.597846,3811.453744,1,41.684777,10874.331865,23405,118.896025,2.72097,642.150759,0.053792,0.000579,2.70255,0.757122,642.150759,113.150364,250.250364,16.84092,9001.203593,16.406167,321.999592,2022-07-23
3.67302,89.593735,114.243759,408.986784,1.794714,432.01925,129.239872,1.448365,1.7975,1.696575,1.914665,2.010671,94.055213,1.915281,0.376897,2051.091532,1,1.384337,6.836319,5.498203,0.995791,4.4287622e-05,79.503867,12.637298,2.513558,19600,2.007244,1.292535,2002.502191,0.963198,0.034517,952.429804,6.7515,4465,669.182575,1,26.5,107.9442,24.077803,177.278512,7.29661,54.142927,145.965737,18.941699,15,52.381106,0.980405,2.20465,0.842337,0.834304,2.939675,0.842337,8.110915,0.842337,54.089792,8638.277044,7.702692,208.340675,7.849625,24.490455,7.366202,116.130201,389.390155,15018,3.443945,0.842337,79.87705,1453.421439,42349.999819,136.750353,0.842337,151.558492,0.709011,136.3155,118.650488,79.759301,4074.889868,464.624994,899.999992,1310.320475,0.307396,0.829858,480.352423,14989.623103,1505.922663,358.49535,152.502143,15.839843,2.95274,0.60489,4.860695,10.210377,19.219285,4191.404797,60.31816,1843.760548,3144.659992,8.051493,356.999828,45.504639,15.350331,1022.114537,20.549595,4.452,63.829994,15.840113,414.719476,35.705335,9.936296,127.20607,1.604325,0.384924,0.995791,3.900734,3.553989,56.069744,227.295937,4.646733,6828.683309,3.64099,4.821022,114.90651,58.124983,1028.281938,3.75704,8.159969,14.283985,456.504892,10.229799,1.3895,1.377397,13169.999557,584.5008,23.2575,20697.981008,8.713656,2512.529433,16.854234,36.667501,9.958199,3.51,3.063501,2.34725,17.762304,6.765737,29.816001,2331.999754,36.597846,3811.453744,1,41.684777,10874.331865,23405,118.896025,2.72097,642.150759,0.053933,0.00058,2.70255,0.757122,642.150759,113.149915,250.249544,16.83125,9001.202751,16.406167,321.999592,2022-07-24
3.673103,89.94647,113.916199,411.319711,1.801762,430.904022,130.398818,1.43867,1.7975,1.697158,1.910513,2.018481,94.422357,1.913199,0.377008,2059.273441,1,1.384642,6.873004,5.357803,0.999668,4.6909419e-05,79.75433,12.606767,2.523932,19600,2.015082,1.285125,2002.498985,0.96434,0.033955,936.92976,6.751054,4467.8,671.417268,1,26.5,107.709064,24.042968,177.719747,7.283501,54.344938,145.897995,18.959903,15,52.589745,0.97815,2.19595,0.842337,0.82957,2.939623,0.842337,8.272591,0.842337,54.090321,8655.504869,7.732778,209.153647,7.849255,24.590708,7.355103,117.235181,390.495056,14989,3.43723,0.842337,79.72275,1459.090376,42349.999752,136.449975,0.842337,152.43719,0.708956,136.434497,118.670203,80.421701,4093.755189,464.625015,899.999992,1310.801353,0.30712,0.83304,477.91198,15052.11335,1511.531361,354.882099,152.497632,15.839669,2.95274,0.60489,4.874575,10.201618,19.304497,4203.815496,60.283046,1850.939399,3144.659992,8.082365,356.999828,45.399409,15.349931,1026.104539,20.4657,4.453497,63.829763,15.840208,415.249961,35.844412,9.839575,127.605642,1.59804,0.385019,0.999668,3.915624,3.522511,55.860159,229.805419,4.62055,6886.453327,3.640972,4.824802,114.814994,58.502326,1032.606572,3.757877,8.159969,13.377498,456.447226,10.190065,1.38609,1.377404,13170.000185,584.50008,23.789504,20697.981008,8.747424,2512.529433,16.762787,36.709501,10.09685,3.51,3.063503,2.34345,17.834198,6.798763,29.833019,2331.340999,36.558141,3846.326668,1,41.803423,10963.84789,23390,118.896025,2.72097,640.751956,0.054337,0.000582,2.70255,0.759966,640.751956,113.150212,250.250266,16.794298,9001.20406,16.320381,321.999592,2022-07-25
3.673106,90.3548,114.860672,409.429491,1.801842,430.90396,130.621954,1.440351,1.7975,1.697052,1.92649,2.018951,94.705373,1.929851,0.376979,2059.818957,1,1.388335,6.883538,5.373396,0.999872,4.7788495e-05,79.690609,12.641076,2.523862,19600,2.015504,1.286825,2002.50406,0.96326,0.033414,922.049724,6.761027,4440.94,671.552259,1,26.5,108.610857,24.230207,178.008924,7.335919,54.3192,145.950255,18.937503,15,52.602858,0.985475,2.200302,0.842337,0.83235,2.939799,0.842337,8.274283,0.842337,54.089888,8656.757582,7.734307,209.169252,7.849165,24.598367,7.407016,116.363815,393.477966,15000.5,3.441055,0.842337,79.77555,1459.407813,42350.000043,137.079693,0.842337,152.846153,0.708999,136.441051,118.594362,80.9604,4095.623652,464.624986,899.999992,1309.640638,0.30729,0.83321,480.009456,15059.297492,1511.892451,354.958088,152.504372,15.839759,2.95274,0.60489,4.880273,10.257577,19.298287,4212.227771,60.690681,1851.335953,3144.659992,8.083864,356.999828,44.699513,15.350421,1026.314234,20.44832,4.455993,63.829838,15.83968,415.200135,35.902209,9.861698,127.504112,1.602425,0.385019,0.999872,3.915793,3.523965,55.405026,232.854329,4.67026,6896.534741,3.640974,4.860299,115.559805,60.749714,1033.032944,3.757089,8.159969,12.795519,456.485792,10.29707,1.388185,1.377401,13169.999621,584.496437,23.789501,20697.981008,8.748756,2512.529433,16.784768,36.685502,10.199068,3.51,3.063504,2.341802,17.8583,6.786231,29.937199,2331.797021,36.796785,3844.646041,1,41.811627,10959.201363,23373,118.896025,2.72097,646.123008,0.05372,0.000582,2.70255,0.75757,646.116644,113.150076,250.25029,16.88185,9001.196973,16.798558,321.999592,2022-07-26
